wk_code,wk_naam,jaar,lbm,afw,fys,onv,soc,vrz,won
WK158101,Driebergen,2016,4.178845797243857,0.07658094610017158,NA,NA,NA,NA,NA
WK158101,Driebergen,2018,4.203655164160297,0.10139031301661228,0.0076867414452973,0.06607633189141238,0.023047207663835022,-0.016139392813220414,0.02071942482928773
WK158101,Driebergen,2020,4.222159443540179,0.11989459239649422,0.010991036995540554,0.06882789686200486,0.024057057548074155,-0.0047448749743469725,0.020763475965221382
WK158101,Driebergen,2022,4.202425019753149,0.10016016860946353,0.016156618825462224,0.04877430381332794,0.01968335597849765,-0.008730004899759935,0.024275894891935358
WK158102,Leersum,2002,4.101351418639344,-9.134325043412592e-4,NA,NA,NA,NA,NA
WK158102,Leersum,2008,4.088265902907832,-0.013998948235853454,NA,NA,NA,NA,NA
WK158102,Leersum,2012,4.107323059993059,0.00505820884937306,NA,NA,NA,NA,NA
WK158102,Leersum,2014,4.104874179633745,0.002609328490059978,0.021304591791505394,0.03364872575053713,0.030623116022593346,-0.10381800388645762,0.020850898811881426
WK158102,Leersum,2016,4.146280133139269,0.044015281995584105,NA,NA,NA,NA,NA
WK158102,Leersum,2018,4.116919902940956,0.014655051797270618,0.02198243897910486,0.048532906995814355,0.033717658876565394,-0.10163103407258804,0.01205308101837377
WK158102,Leersum,2020,4.155902604629024,0.05363775348533866,0.024015550972775787,0.07407312070608435,0.036274514889071005,-0.0981042378849901,0.017378804802397334
WK158102,Leersum,2022,4.134941562275082,0.03267671113139697,0.02840263500159368,0.0408519804537198,0.03156716602885187,-0.09671352780307499,0.028568457450306298
WK158103,Amerongen,2002,4.10575593099639,0.003491079852704032,NA,NA,NA,NA,NA
WK158103,Amerongen,2008,4.091382595138467,-0.01088225600521806,NA,NA,NA,NA,NA
WK158103,Amerongen,2012,4.116305388844866,0.014040537701180689,NA,NA,NA,NA,NA
WK158103,Amerongen,2014,4.115297248021779,0.01303239687809437,0.010147760771761292,0.04918135689361107,0.043051810826918974,-0.10253566123700679,0.013187129622809624
WK158103,Amerongen,2016,4.154387450065835,0.05212259892214982,NA,NA,NA,NA,NA
WK158103,Amerongen,2018,4.137058343330896,0.03479349218721121,0.0018755666271966008,0.07311648284632585,0.0398471940564413,-0.10066323420764865,0.020617482864895825
WK158103,Amerongen,2020,4.151132289120333,0.04886743797664749,7.023532194075337e-4,0.08792247705493297,0.0370016230887224,-0.09720239224993045,0.020443376863514752
WK158103,Amerongen,2022,4.131498625768596,0.02923377462491001,0.0063683922727194465,0.06171083305713439,0.03122989660439567,-0.0981118891335148,0.028036541824175015
